Time started: 2026-01-15 00:44:25.021770
Vendor: IQM
Backend: sirius:mock
Problems: ["Grover's Algorithm"]

problem,num_qubits,shots,end_time,time_ms,usage_estimation,results,metadata
Grover's Algorithm,3,2048,2026-01-15 00:44:29.885228,4860.033,N/A,{'000': 2048},"Iterations: 1, Target string: 000"
Grover's Algorithm,4,2048,2026-01-15 00:44:46.190547,5300.574,N/A,{'0000': 2048},"Iterations: 1, Target string: 1001"
Grover's Algorithm,5,2048,2026-01-15 00:45:02.477379,5041.739,N/A,{'00000': 2048},"Iterations: 1, Target string: 10011"

Time ended: 2026-01-15 00:45:13.974034
Time difference: 0 hours; 00 minutes; 48.952264 seconds
