Time started: 2026-02-10 10:16:47.200429
Vendor: IBM
Backend: ibm_pittsburgh
Problems: ['Bernstein-Vazirani']

problem,num_qubits,shots,end_time,time_ms,usage_estimation,results,metadata,error_data
Bernstein-Vazirani,4,1024,2026-02-10T15:24:44.546Z,97182.032,2.187006238,"{'111': 960, '000': 3, '011': 22, '101': 22, '110': 9, '100': 2, '001': 6}",Secret number: 111,"{'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}, 'q119': {'T1': 0.0002911306429058255, 'T2': 0.0003938079885786404, 'readout_error': 0.0028076171875}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:24:56.867Z,5928.525,,"{'101': 979, '001': 22, '100': 9, '000': 9, '111': 5}",Secret number: 101,"{'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:25:09.015Z,5834.024,,"{'000': 1023, '010': 1}",Secret number: 000,"{'q12': {'T1': 0.00022450278854727006, 'T2': 0.0002341901341773684, 'readout_error': 0.0015869140625}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q143': {'T1': 0.00024098390633202812, 'T2': 0.0003403071653251344, 'readout_error': 0.001953125}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:25:20.986Z,5476.368,,"{'010': 8, '011': 989, '000': 1, '001': 15, '111': 11}",Secret number: 011,"{'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:28:30.896Z,183672.389,2.516194148,"{'000': 1022, '100': 2}",Secret number: 000,"{'q12': {'T1': 0.00022450278854727006, 'T2': 0.0002341901341773684, 'readout_error': 0.0015869140625}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q143': {'T1': 0.00024098390633202812, 'T2': 0.0003403071653251344, 'readout_error': 0.001953125}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:29:28.413Z,51113.624,3.103703581,"{'100': 977, '101': 24, '000': 16, '111': 1, '110': 6}",Secret number: 100,"{'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q12': {'T1': 0.00022450278854727006, 'T2': 0.0002341901341773684, 'readout_error': 0.0015869140625}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q149': {'T1': 0.00031937882129805077, 'T2': 0.00026078442619906136, 'readout_error': 0.00244140625}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:29:41.635Z,7122.476,,"{'111': 947, '011': 26, '001': 13, '110': 8, '101': 25, '000': 3, '100': 2}",Secret number: 111,"{'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}, 'q119': {'T1': 0.0002911306429058255, 'T2': 0.0003938079885786404, 'readout_error': 0.0028076171875}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:30:05.374Z,26167.283,2.187006238,"{'111': 938, '110': 11, '011': 40, '001': 4, '000': 4, '101': 23, '010': 1, '100': 3}",Secret number: 111,"{'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}, 'q119': {'T1': 0.0002911306429058255, 'T2': 0.0003938079885786404, 'readout_error': 0.0028076171875}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:30:29.224Z,8491.165,2.348954488,"{'010': 9, '011': 979, '001': 28, '000': 6, '111': 2}",Secret number: 011,"{'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:30:56.226Z,20773.400,2.348954488,"{'011': 976, '001': 35, '000': 3, '010': 8, '111': 2}",Secret number: 011,"{'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}}"
Bernstein-Vazirani,6,1024,2026-02-10T15:31:08.859Z,6460.349,2.187006238,"{'00111': 877, '00101': 17, '00110': 23, '00011': 68, '01111': 2, '10111': 23, '00000': 3, '10011': 5, '00010': 3, '10110': 1, '00001': 2}",Secret number: 00111,"{'q72': {'T1': 0.00027638302748742065, 'T2': 0.00045126305153520864, 'readout_error': 0.002197265625}, 'q74': {'T1': 0.0001429783348236107, 'T2': 0.0001981055372209431, 'readout_error': 0.002685546875}, 'q79': {'T1': 0.00032079506723493243, 'T2': 0.00043084832668176633, 'readout_error': 0.0023193359375}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q73': {'T1': 0.0003543131842778996, 'T2': 3.8607643095032445e-05, 'readout_error': 0.002685546875}}"
Bernstein-Vazirani,6,1024,2026-02-10T15:31:21.620Z,5693.262,2.128069436,"{'01111': 941, '00111': 24, '01011': 9, '00110': 11, '00000': 3, '00001': 4, '01101': 8, '01110': 15, '11111': 4, '00011': 3, '01000': 1, '01001': 1}",Secret number: 01111,"{'q115': {'T1': 0.0003935871964858028, 'T2': 0.00039961307126167364, 'readout_error': 0.0028076171875}, 'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}, 'q119': {'T1': 0.0002911306429058255, 'T2': 0.0003938079885786404, 'readout_error': 0.0028076171875}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}}"
